QID,FQ,Cooling,Heating,Total
0,,,,
1,Af,81.88293109471778,0.0,81.88293109471778
2,Am,69.39882988161217,0.0,69.39882988161217
3,Aw,98.96755666876481,0.0,98.96755666876481
4,Bwh,79.90500454955226,0.0,79.90500454955226
5,Bwk,153.93694826313285,22.30853676391061,176.24548502704346
6,Bsh,69.36536945917767,0.0,69.36536945917767
7,Bsk,100.01829878354799,21.390208111242742,121.40850689479073
8,Csa,39.86961239340898,3.5170354179945775,43.386647811403556
9,Csb,50.289608401125314,0.0,50.289608401125314
10,Csc,1.482231099509144,46.18434812558246,47.6665792250916
11,Cwa,63.80667594753835,0.0,63.80667594753835
12,Cwb,120.41760586582346,3.456201970174263,123.87380783599772
13,Cwc,2.590772688453807,10.97119823652875,13.561970924982557
14,Cfa,85.3721912509591,5.398271736819872,90.77046298777898
15,Cfb,16.104570177926462,21.865659694838854,37.970229872765316
16,Cfc,0.0,33.01376412008011,33.01376412008011
17,Dsa,39.428457899181055,22.501731630117888,61.93018952929894
18,Dsb,91.35376399558703,0.0,91.35376399558703
19,Dsc,0.46581859436679207,39.70597532618956,40.171793920556354
20,Dsd,0.03276740300332791,87.9626794360986,87.99544683910193
21,Dwa,90.86933825568904,27.845640104482186,118.71497836017123
22,Dwb,8.01325879553972,49.81973108485454,57.83298988039426
23,Dwc,25.169415828954754,111.14491167938343,136.31432750833818
24,Dwd,0.018813178224178047,104.74698563719721,104.76579881542139
25,Dfa,22.4969502438172,26.934151769706716,49.43110201352391
26,Dfb,10.8268756925666,29.489430630572144,40.31630632313875
27,Dfc,0.9143199404238302,49.585583056424866,50.4999029968487
28,Dfd,0.4844835259483241,54.00885856571722,54.493342091665546
29,EF,0.0,88.171740849049,88.171740849049
30,ET,0.06499380850636041,52.53027706338298,52.59527087188934
