日期,地表温度(K),近地面气温(K),地表净太阳辐射(J m**-2),晴空地表净太阳辐射(J m**-2),地表净热辐射(J m**-2),晴空地表净热辐射(J m**-2),气压(Pa),晴空地表水平辐射(J m**-2),大气层顶净太阳辐射(J m**-2),晴空大气层顶净太阳辐射(J m**-2),大气层顶净热辐射(J m**-2),总云量((0 - 1)),地表总直接太阳辐射(J m**-2),散射辐射的UV可见反照率((0 - 1)),湿度%,地面风速m/s,大气透过率,天空发射率,辐射制冷功率_W_per_m2
2025/7/1 0:00,299.6175537,301.6600647,3.60E-12,0,-117606.625,-114447,100321.1563,0,0,0,-980762,0.740386963,0,0.077553898,84.89598902,2.962556214,0.292278176,0.707721824,115.5117676
2025/7/1 1:00,299.2942505,301.5550232,3.60E-12,0,-114939,-113994.9375,100287.9688,0,0,0,-969546,0.617706299,0,0.0775382,85.64718977,2.676015916,0.302913641,0.697086359,119.0315539
2025/7/1 2:00,298.9538574,301.6413879,3.60E-12,0,-119641,-115503,100277.3438,0,0,0,-973112,0.769226074,0,0.077507466,84.91976049,2.414528128,0.289083204,0.710916796,110.1394158
2025/7/1 3:00,298.6136475,301.3677673,3.60E-12,0,-132791,-125863,100292.4375,0,0,0,-975018,0.995941162,0,0.077485874,85.19450016,2.267102151,0.251382481,0.748617519,91.69772398
2025/7/1 4:00,298.4842529,301.2392578,3.60E-12,0,-130599,-128284,100320.7813,0,0,0,-954904,0.98928833,0,0.07745491,85.76190091,2.319352783,0.252968063,0.747031937,92.26960931
2025/7/1 5:00,298.3505249,304.1081238,3.60E-12,0,-122188,-121367,100363.5625,0,0,0,-935424,0.999298096,0,0.077424183,75.81313688,2.286555509,0.247165186,0.752834814,75.18647755
2025/7/1 6:00,299.6431274,304.3188782,70208,67200,-120862,-116601,100316.0938,91584,171264,190464,-879649,0.950714111,15680,0.077408478,74.89610272,2.827771306,0.258042182,0.741957818,86.70757188
2025/7/1 7:00,301.9588623,304.377594,407296,444032,-144796,-129518,100437.375,563456,809088,898304,-852958,0.96661377,194496,0.07739301,73.4843259,3.182006409,0.256360819,0.743639181,94.65334576
2025/7/1 8:00,303.8815308,304.2711792,928512,980544,-170540,-156095,100495.5313,1223936,1624064,1696000,-856259,0.973144531,636480,0.077362053,73.47498488,3.903650083,0.255555658,0.744444342,94.36987759
2025/7/1 9:00,305.3858643,307.0709534,1480960,1532352,-190338.875,-179433.4375,100540.7813,1902528,2394240,2456064,-908482,0.965942383,1188480,0.077331319,62.50982747,4.682572286,0.258521459,0.741478541,76.48293702
2025/7/1 10:00,306.2930908,306.9417419,1965056,2014848,-198151.4375,-194417.1875,100542.0313,2495552,3054592,3104128,-875887,1,1691392,0.077300362,63.45970187,5.080322555,0.249946424,0.750053576,64.59498772
2025/7/1 11:00,307.1125488,306.9935608,2358016,2382592,-208433,-204372.625,100550.5938,2947072,3569280,3587584,-901192,0.995941162,2143808,0.077284887,64.11563414,5.354571349,0.249508606,0.750491394,56.80744683
2025/7/1 12:00,307.6028442,308.3734131,2542272,2596992,-209922.375,-210342.9375,100523.25,3210176,3828224,3868288,-909764,1,2270720,0.077254161,59.01504523,5.46003137,0.249715926,0.750284074,49.71108493
2025/7/1 13:00,307.7318115,308.3775635,2551680,2637120,-208821.4375,-209661.375,100477.1875,3259520,3853568,3924736,-956179,1,2384384,0.077238455,58.82892194,5.377590085,0.250031328,0.749968672,47.5296507
